,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
1467,PAPA A LA HUANCAÍNA,,,,,,,,,,,,,
1468,,,,,,,,HOJUELAS DE MAIZ ENVASADO,,,,,,
1469,,,,,,,,,,,,,PAN ANIS,
1470,,,,,,,,,,,,,PAN PITA INTEGRAL,
1471,,,,,,,,,,,,,AJÍ PANCA MOLIDO ENVASDAO,
1472,,,,,,,,,,,,,PAN DE MOLLETE,
1473,,,,,,,AJI PANCA MOLIDO ENVASADO,,,,,,,
1474,,,,,PESCADO DONCELLLA,,,,,,,,,
1475,,,,,,,,,,,POLLO FRITO CON PAPA SANC,,,
1476,,,,,PESCADO EN SALSA DE TOMAT,,,,,,,,,
1477,PAPA PARA PERRO,,,,,,,,,,,,,
1478,,,,,,,,MAIZ AMARILLO MOLIDO PARA,,,,,,
1479,TALLARIN CON PAPA,,,,,,,,,,,,,
1480,,,,,,,,,,,LECHE FRESCA ENTERA UHT,,,
1481,,,,AGUA DE MEDA,,,,,,,,,,
1482,,,,,,,ANIS EN RAMAS PARA INFUSI,,,,,,,
1483,,,,AGUA DE SIETE SEMILLAS,,,,,,,,,,
1484,,,,,,,,,,,,,PANCA PARA CUY,
1485,,,,,,,,HARINA DE MAIZ MORADA,,,,,,
1486,,,,,,,,HARINA DE MAIZ MOROCHO,,,,,,
1487,,,,,,,,,,,,,PAN CEMITA,
1488,,,,,,,,,,,Comida para Perros,,,
1489,FRIJOL CHILENO VERDE EN C,,,,,,,,,,,,,
1490,,,,,,,,,,,,,PAN PETIPAN,
1491,,,,,,,,,,,TRIGO RESBALADO (SHAMBAR),,,
1492,,,,,PESCADO MAPARACHE SECO,,,,,,,,,
1493,,,,AGUA DE MESA CON GAS,,,,,,,,,,
1494,,,,,,,,HARINA DE HABA ENVASADA,,,,,,
1495,PAPA MACTILLO,,,,,,,,,,,,,
1496,,,,,PESCADO PACOTANA,,,,,,,,,
1497,,,,,,,PEREJIL EN RAMA PARA INFU,,,,,,,
1498,,,FRIJOL NEGRO A GRANEL,,,,,,,,,,,
1499,TE VERDE Y NARANJA,,,,,,,,,,,,,
1500,,,,,,,,HARINA DE KAÑIGUA TOSTADA,,,,,,
1501,,,,,,,,,,,Menundencia de Pollo,,,
1502,,,,,,,AZAFRAN MOLIDO,,,,,,,
1503,,,,,,,,,,,OLLUQUITO CON POLLO ARROZ,,,
1504,,,,,,,,,,,,,PAN CHANCAYSITO,
1505,,,,,,,MANI MOLIDO A GRANEL,,,,,,,
1506,,,,,,,,SIETE HARINAS ENVASADO,,,,,,
1507,,,,,,,PIMENTO MOLIDO A GRANEL,,,,,,,
1508,,,,,,,HUAMANRRIPA EN RAMA PARA,,,,,,,
1509,,,,,,,AJI ESPECIAL MOLIDO,,,,,,,
1510,,,,,,,,,,,MOLLEJITAS DE POLLO,,,
1511,,,,,,,MANÍ TOSTADO MOLIDO,,,,,,,
1512,,,,,,,,SIETE HARINAS A GRANEL,,,,,,
1513,,,,,,,,,,,CRIADILLA DE RES,,,
1514,PAPA CONCHUCO,,,,,,,,,,,,,
1515,,,,,,,,,,,,,PAN DE LEÑA,
1516,,,,,,,,,,,CABEZAS DE POLLO PARA GAT,,,
1517,,,,,,,,,,,POLLO AL HORNO,,,
1518,,,FRIJOL BOCA NEGRA SECA,,,,,,,,,,,
1519,,,,,,,,,,,,,PAN CHALACO,
1520,,,,,,,HIERBA COMBINADA EN RAMA,,,,,,,
1521,,,,,,,,,,,GUALDRAPA DE RES PARA PER,,,
1522,PAPA CHANCHAN,,,,,,,,,,,,,
1523,,,,,,,,,,,ALIMENTO PARA POLLO,,,
1524,,,,,,,,HOJUELAS DE MAIZ ENVASADA,,,,,,
1525,,,,,,,,HARINA DE SOYA ENVASADA,,,,,,
1526,,,,,,,,,,,TRIGO RESBALADO,,,
1527,,,,,,,,,,,CARNE DE RES LOMO,,,
1528,,,FRIJOL BLANCO  PRECOCIDA,,,,,,,,,,,
1529,,,,,,,,,,,,,PANES SURTIDOS,
1530,,,,,,,,,,,SANGRESITA PRECOCIDA DE C,,,
1531,,,,,,,,,,,ESPINZAO DE POLLO,,,
1532,,,,,,,,,,,REPOLLO PARA CONEJO,,,
1533,,,,,,,,,,,TRIPA DE CARNERO,,,
1534,,,,,,,,,,,CARNE DE RES GUISO,,,
1535,,,,,,,,,,,,,PAN ARTESANAL,
1536,,,,,,,,,,,,,PAN VOTO,
1537,,,,,,,,,,,LECHE FRESCA DE VACA PARA,,,
1538,,,,,PESCADO PAMPANITO,,,,,,,,,
1539,,,,,,,,HARINA DE HABAS ENVASADAS,,,,,,
1540,,,,,,,,,,,,,PAN CUSCO,
1541,,,,,,,,,,,RESTOS DE COMIDA,,,
1542,,,,,,,COMIDO MOLIDO ENVASADO,,,,,,,
1543,,,,,,,,MAIZ MOLIDO A GRANEL,,,,,,
1544,,,,,,,CAFE TOSTAFO MOLIDO A GRA,,,,,,,
1545,,,,,,,,,,,DESPERDICIOS DE CARNE DE,,,
1546,,,,,PESCADO DONCELLA SECO SAL,,,,,,,,,
1547,,,,,,,,,,,CARNE DE RES PARA MASCOTA,,,
1548,,,FRIJOL.CANARIO COCINADO,,,,,,,,,,,
1549,,,,,,,AJI DE GALLINA,,,,,,,
1550,,,,,,,,MAZAMORRA DE HARINA CON L,,,,,,
1551,ARROZ VERDE PAPA FRITA PO,,,,,,,,,,,,,
1552,,,,,,,AJI ROCOTO MOLIDO,,,,,,,
1553,,,FRIJOL PINTO,,,,,,,,,,,
1554,,,,,,,,MAIZ PARA MOTE,,,,,,
1555,,,,,,,HIERBA LUISA EN RAMA OARA,,,,,,,
1556,,,,,PESCADO CHITA,,,,,,,,,
1557,,,FRIJOL SARANDAJA PRECOCID,,,,,,,,,,,
1558,,,,,PESCADO CABRILLA SALADA,,,,,,,,,
1559,,,,,,,SAZONADOR MOLIDO TUCO ENV,,,,,,,
1560,,,,,CEVICHE DE PESCADO CHOCHO,,,,,,,,,
1561,,,,,,,,HARINA SIETE SEMILLAS,,,,,,
1562,ALVERJA VERDE,,,,,,,,,,,,,
1563,,,,GALLETA DE AGUA RNVASADA,,,,,,,,,,
1564,,,FRIJOL BOCA NEGRA SECO,,,,,,,,,,,
1565,,,,,,,,,,,AVENA A GRANEL PARA PERRO,,,
1566,,,,,,,,HARINA TAPIOCA,,,,,,
1567,PAPA AL HILO,,,,,,,,,,,,,
1568,,,,,,,,BOCADITOS DE HARINA BASIT,,,,,,
1569,,,,,,,,,,,TRIGO RESBALADO (SHMBAR),,,
1570,PALLAR VERDE,,,,,,,,,,,,,
1571,,,,,,,,HARINA DE TRIGO TOSTADO (,,,,,,
1572,,,,,,,,,,,CHAUFA DE POLLO,,,
1573,,,,,FILETE DE PESCADO BONITO,,,,,,,,,
1574,,,,,,,,,,,LECHE ENTERA FRESCA BOLSA,,,
1575,,,FRIJOL PINTADO,,,,,,,,,,,
1576,,,,,,,PEREJIL EN RAMAS,,,,,,,
1577,,,,,,,,,,,,,PANQUEQUE,
1578,,,,,,,,,,,,,PAN CHAQUIPAN,
1579,,,,,,,,,,,PELLEJO DE RES PARA PERRO,,,
1580,,,,,,,,,,,,,PAN DE MOLDE INREGRAL ENV,
1581,,,,,PESCADO PICUDA,,,,,,,,,
1582,,,,,PESCADO TOA A LA HOJA,,,,,,,,,
1583,,,,,,,,,,,,,EMPANADA TRIPLE,
1584,,,,,,,POLEO EN RAMA PARA INFUSI,,,,,,,
1585,,,,,,,,MAIZ MARTAJADO,,,,,,
1586,,,,,,,,,,,REFRESCO DE HUESILLO,,,
1587,,,,,,,AJI PANCA EN POLVO A GRAN,,,,,,,
1588,,,,,,,,,,,HAMBURGUESA DE POLLO CRUD,,,
1589,,,,,,,,,,,,,PAN TORTILLA ENVASADA,
1590,,,,,,,,,,,POLLO CON VISCERAS,,,
1591,ARVEJA VERDE PRECOCIDA,,,,,,,,,,,,,
1592,,,,,,,PALILLO MOLIDO  A GRANEL,,,,,,,
1593,,,,,,,PIMIENTO MOLIDO ENVASADO,,,,,,,
1594,,,,,,,,,,,CARNE DE SAMAÑO,,,
1595,,,,,,,,,,,PELLEJO DE POLLO,,,
1596,FRIJOL HUASCA VERDE,,,,,,,,,,,,,
1597,,,,,,,ACHOTE MOLIDO,,,,,,,
1598,HABA VERDE PELADA,,,,,,,,,,,,,
1599,,,,,,,,,,,REPOLLO PICADO,,,
1600,,,,,,,,,,,ESPINAZO DE POLLO E HIGAD,,,
1601,,,,,,,,HOJUELA DE MAIZ ENVASADA,,,,,,
1602,,,,,,,,,,,MENUDENCUA DE POLLO,,,
1603,,,,,,,,,,,CHALONA DE RES,,,
1604,,,,,,,HIERBAS SURTIDAS EN RAMA,,,,,,,
1605,,,,,,,EUCALIPTO EN RAMA PARA IN,,,,,,,
1606,,,,,,,,,,,,,PAN TORATTA,
1607,,,,,,,PIMENTÓN MOLIDO A GRANEL,,,,,,,
1608,,,,,,,,,,,,,PAN VARIOS,
1609,,,,,,,,,,,,,PAN DE MASA,
1610,PAPA DE HUEVO DE INDIO,,,,,,,,,,,,,
1611,,,,,,,PASAMUÑA EN RAMA PARA INF,,,,,,,
1612,,,,,,,,,,,MENUDENCIA DE RES PAR PER,,,
1613,FRIJOL VERDE CON. CASCARA,,,,,,,,,,,,,
1614,ALBERJITA ZANAHORIA PAPA,,,,,,,,,,,,,
1615,,,,,,,,,,,CARNE DE CHANCHO CHULETA,,,
1616,,,FRIJOL PINTADO VERCE,,,,,,,,,,,
1617,PAPA LARGA,,,,,,,,,,,,,
1618,,,FRIJOL BOCÓN SECO,,,,,,,,,,,
1619,,,,,,,,,,,COMIDA PARA PERRO ENVASAD,,,
1620,,,,,PESCADO FRITO CON FRIJOLE,,,,,,,,,
1621,PAPA RODAS,,,,,,,,,,,,,
1622,PAPA YUNGAY BLANCA,,,,,,,,,,,,,
1623,,,,,,,,,,,CARNE DE RES PARA GUISO,,,
1624,,,,,PESCADO PAICHE SALADO,,,,,,,,,
1625,,,,,,,,,,,LECHE FRESCA EN BOLSA,,,
1626,,,,,,,,,,,,,PAN VARIADOS,
1627,,,,,,,HUAMAN LIPA EN RAMA PARA,,,,,,,
1628,,,,,,,,MAIZ BLANCO CANCHA TOSTAD,,,,,,
1629,,,,,,,ANIS EN RAMA PARA INFUSIÓ,,,,,,,
1630,,,,,,,TARWI MOLIDO PRECOCIDO A,,,,,,,
1631,,,,AGUA DE COCO,,,,,,,,,,
1632,,,,,,,,HARINA DE CEBADA A GRANEL,,,,,,
1633,,,,AGUA DE MANGO,,,,,,,,,,
1634,,,,,,,,,,,POLLO BROASTER CON ARROZ,,,
1635,,,,,,,,,,,ENGORDE PARA POLLOS,,,
1636,PAPA RELLENA CON ARROZ CH,,,,,,,,,,,,,
1637,,,,,,,,,,,PECHO DE CARNE,,,
1638,PAPA WERAPAÑA,,,,,,,,,,,,,
1639,,,,,,,,,,,,,PAN PIZZA,
1640,,,,,,,VALERIAN EN RAMA PARA INF,,,,,,,
1641,,,,,,,,,,,,,PAN DE HAMBURGUESA,
1642,,,,,,,,,,,SANWINCH CON POLLO,,,
1643,,,,,,,,HARINA DE CEBADA PARA PER,,,,,,
1644,,,,,,,,,,,ORÉGANO EN RAMAS (FRESCO),,,
1645,,,,,,,,,,,CUELLO DE POLLO,,,
1646,,,,,PESCADO ZAVALO,,,,,,,,,
1647,PAPA GUADALINA,,,,,,,,,,,,,
1648,,,,AGUA TRATATA,,,,,,,,,,
1649,,,,,,,CULANTRO CON AJI AMARILLO,,,,,,,
1650,,,,,,,,,,,ESPINAZOS DE POLLO,,,
1651,,,,,,,HIEBA COMBINADA EN RAMA,,,,,,,
1652,,,FRIJOL HUESCAR SECO,,,,,,,,,,,
1653,,,,,PESCADO BOQUICHICO SALADO,,,,,,,,,
1654,,,,,,,AJÍ MIRASOL MOLIDO,,,,,,,
1655,PAPA NEGRITA,,,,,,,,,,,,,
1656,PAPA ARREBOSADAS,,,,,,,,,,,,,
1657,,,,,,,PIMIENTA COMINO MOLIDO A,,,,,,,
1658,,,,,,,,MAIZ GUIÑAPO,,,,,,
1659,,,FRIJOL CHICLAYO COCINADO,,,,,,,,,,,
1660,Papa de color (rosada),,,,,,,,,,,,,
1661,,,,,,,,,,,HIGADO POLLO,,,
1662,,,,AGUA DE MESA ENVASADA,,,,,,,,,,
1663,,,,,,,AJÍ ROCOTO MOLIDO GRANEL,,,,,,,
1664,,,,,,,,,,,TORTA TRES LECHES,,,
1665,TALLARIN CON CEVICHE PAPA,,,,,,,,,,,,,
1666,,,,,,,,,,,CARNE DE RES PARTE AGUJA,,,
1667,,,FRIJOL CASTILLA SECO,,,,,,,,,,,
1668,PAPA ACEITUNA,,,,,,,,,,,,,
1669,,,,,PESCADO YAHURACHI,,,,,,,,,
1670,,,,,,,AJI PIMIENTO MOLIDO A GRA,,,,,,,
1671,,,,,,,,,,,,,PAN SERRANO,
1672,,,,,,,,,,,,,PAN,
1673,,,,,,,,TORTILLA DE HARINA DE TRI,,,,,,
1674,LENTEJA VERDE EN CASCARA,,,,,,,,,,,,,
1675,,,,,,,,HARINA ALVERJA HABAS  GAR,,,,,,
1676,,,,,,,,,,,COMIDA PARA PERRO,,,
1677,,,FRIJOL PARDO,,,,,,,,,,,
1678,,,,,,,PEREJIL EN RAMA,,,,,,,
1679,,,,,,,"AJI PANCA,ACHIOTE,LAUREL,",,,,,,,
1680,,,,,,,,,,,,,PAN AJONJOLI,
1681,,,,,,,,,,,ENCUENTROS DE POLLO,,,
1682,,,,,PESCADO CATCHEMA,,,,,,,,,
1683,,,,,,,,,,,CARNE DE ALPACA,,,
1684,,,,,,,,,,,PANZA DE CARNERO PRECOCID,,,
1685,,,,,,,,HARINA DE CEBADA MOLIDA,,,,,,
1686,,,,,,,,,,,JAMON DE PECHUGA DE POLLO,,,
1687,,,,,,,,,,,CARNE DE RES MOLIDA,,,
1688,,,,,,,,HARINA CEBADA,,,,,,
1689,,,,,,,,,,,,,PANZA PRECOCIDA,
1690,,,,,PESCADO PERICHE,,,,,,,,,
1691,,,,,,,,,,,CARNE DE CABRA,,,
1692,,,,,,,,,,,CARNERO EN PIE O VIVO,,,
1693,,,,,,,,,,,MENUFENCIA DE POLLO,,,
1694,,,,,,,,,,,CARNE DE CABRITO,,,
1695,,,,,,,,,,,ZANAHORIA PARA PERRO,,,
1696,,,,,PESCADO JUREL SECO,,,,,,,,,
1697,,,,,,,,,,,GRATED DE ATUN PARA PERRO,,,
1698,,,,,,,,HARINA INTEGRAL A GRANEL,,,,,,
1699,,,,,,,,,,,,,PAN  CASERO,
1700,PAPA NATIVA,,,,,,,,,,,,,
1701,,,,,,,,,,,ALITAS DE POLLO A LA BARB,,,
1702,,,,,,,SAZONADOR A GRANEL MOLIDO,,,,,,,
1703,,,,,,,,MAIZ CHANCADO CON VITAOVO,,,,,,
1704,,,,,,,,MAIZ PILPE,,,,,,
1705,ARVEJA VERDE PARTIDA PREC,,,,,,,,,,,,,
1706,,,,,PESCADO ROBADILLO,,,,,,,,,
1707,,,,,,,,,,,PESCADO SABALO FRESCO,,,
1708,,,,,,,,,,,ROLLITOS DE CARNE ENVASAD,,,
1709,,,,,PESCADO CABINZA,,,,,,,,,
1710,,,,,,,,,,,CHICHA FRESCA DE JORA,,,
1711,,,,,,,,,,,ARROZ CON SECO DE POLLO,,,
1712,,,,,,,,,,,HELADO DE FRESA,,,
1713,,,,,,,,,,,QUESO FRESCO DE CABRA,,,
1714,,,,,,,,,,,,,PAN DE MANTEQUILLA,
1715,,,,,,,,,,,HARINA PARA PERRO,,,
1716,,,,,,,,,,,,,PAN BOMBA,
1717,PAPA SICA,,,,,,,,,,,,,
1718,,,,,,,,,,,LOMITO DE RES,,,
1719,,,,,PESCADO DE CARACHI,,,,,,,,,
1720,,,,,PESCADO CABALLA,,,,,,,,,
1721,,,,,PESCADO CABALLA SECO O SA,,,,,,,,,
1722,,,,,,,,,,,CARNE EN CONSERVA (ENLATA,,,
1723,,,,AGUA GASIFICADA,,,,,,,,,,
1724,,,FRIJOL SHINGO SECO,,,,,,,,,,,
1725,,,,,,,,,,,,,PAN MOLDE ÍNTEGRAL,
1726,,,,,,,,HOJUELAS DE MAIZ CON SABO,,,,,,
1727,,,,,,,,,,,,,AJÍ PANCA MOLIDO ENVASADA,
1728,,,,,,,OREGANO MOLIDO ENSVASADA,,,,,,,
1729,,,,,,,AJI AMARILLIN ENVASADO,,,,,,,
1730,,,,,,,,,,,,,PANCHOS,
1731,,,,,,,,,,,SANDWICH DE CARNE,,,
1732,,,,,,,,HARINA DE CAMOTE,,,,,,
1733,,,,,,,,,,,PATE PARA PERRO SABOR CAR,,,
1734,,,,,,,,HARINA DE MAIZ MOTE A GRA,,,,,,
1735,,,,,,,SALVIA EN RAMA PARA INFUS,,,,,,,
1736,,,FRIJOL HUEVO DE PALOMA,,,,,,,,,,,
1737,,,,,PESCADO CHULA,,,,,,,,,
1738,,,,,,,CHICCHIPA EN RAMA PARA IN,,,,,,,
1739,,,,AGUA IZONIZADA,,,,,,,,,,
1740,,,FRIJOL MANTECA,,,,,,,,,,,
1741,,,,,,,,,,,,,PAN INTEGRAL,
1742,PAPA CHANCAY,,,,,,,,,,,,,
1743,,,,,,,OREGANO  MOLIDO ENVASADA,,,,,,,
1744,,,,,,,HIRIONDILLA EN RAMA PARA,,,,,,,
1745,,,,,,,ALBACA EN RAMA,,,,,,,
1746,,,,,,,AJI NO MOTO ETNVASADO,,,,,,,
1747,,,,AGUA DE POMA,,,,,,,,,,
1748,,,,,,,PICHIUQUITA EN RAMA PARA,,,,,,,
1749,AJI VERDE MOLIDO A GRANEL,,,,,,,,,,,,,
1750,,,,,,,AJÍ COMBINADO MOLIDO A GR,,,,,,,
1751,,,,,,,,,,,SANGRE DE CARNERO,,,
1752,,,,,,,TARWI MOLIDO PRECOCIDO,,,,,,,
1753,,,,JUREL EN AGUA Y SAL,,,,,,,,,,
1754,,,,,,,,,,,CABEZAS DE POLLO PARA PER,,,
1755,,,,,,,,,,,CARNE DE RES ASADO,,,
1756,PAPAS FRITAS CON SAL,,,,,,,,,,,,,
1757,,,,,,,,,,,CARNE DE GLUTEN DE TRIGO,,,
1758,,,FRIJOL ARVEJON PRECOCIDO,,,,,,,,,,,
1759,,,,,,,,,,,,,PAN CON HAMBURGUESA,
1760,,,,,PESCADO BATEA SALADA,,,,,,,,,
1761,,,,,PESCADO ATUN,,,,,,,,,
1762,,,,,,,,MAIZ CANCHA TOSTADO,,,,,,
1763,,,,,,,,,,,POLLO CON VICERSA,,,
1764,,,,,,,AJIACO EN HOJA,,,,,,,
1765,,,FRIJOL DE PALO,,,,,,,,,,,
1766,,,,,PESCADO TUCUNARE SALADO,,,,,,,,,
1767,,,,,,,,HARINA SIN PPREPAAR A GRA,,,,,,
1768,,,,,,,AJI PANCA MOLIDO,,,,,,,
1769,,,,,,,,,,,HIGADO DEN POLLO,,,
1770,,,,,,,,,,,LECHE FRESCA DESLACTOSADA,,,
1771,,,,,,,AJI PANCA ENVASADO,,,,,,,
1772,,,,,,,CANELA MOLIDO ENVASADO,,,,,,,
1773,,,,,,,,,,,RIÑÓN DE RES,,,
1774,,,,,,,AJI LIMO,,,,,,,
1775,,,,,,,,,,,ZANAHORIA PARA PERROS,,,
1776,,,,,,,COMINO PIMIEMTA MOLIDO EN,,,,,,,
1777,PAPA NATIVAS,,,,,,,,,,,,,
1778,,,,,,,,TOCOSH DE MAIZ,,,,,,
1779,,,,,,,,MAIZ REVENTON POP CORN,,,,,,
1780,,,,,,,PALILLO A MOLIDO GRANEL,,,,,,,
1781,,,,,,,,,,,MOLLEJA DE POLLO,,,
1782,,,,,,,,,,,GELATINA DE PATA DE RES,,,
1783,,,,,PESCADO ALBACORA,,,,,,,,,
1784,,,,,,,,,,,,,PAN DE CASTAÑA,
1785,,,,,,,ACHIOTE  MOLIDO A GRANEL,,,,,,,
1786,,,,,,,PIMIENTA COMIDO MOLIDO EN,,,,,,,
1787,,,,,,,,,,,,,PAN MOLDE INTEGRAL,
1788,,,,,,,MENTA EN RAMA EN INFUSION,,,,,,,
1789,,,,,,,,,,,ARROCILLO PARA PERRO A GR,,,
1790,,,,,,,,MAIZ PARDO TOSTADO,,,,,,
1791,PAPA RELLENA,,,,,,,,,,,,,
1792,,,,,,,AJI MISQUIUCHU,,,,,,,
1793,,,,,,,CREMA DE AJI ENVASADO TAR,,,,,,,
1794,,,,,,,,,,,POLLO EVICERADO,,,
1795,CHUÑO DE PAPA,,,,,,,,,,,,,
1796,,,,,,,,,,,,,PAN DE CHOCLO,
1797,,,,,,,,,,,HIGADO DE POLLO PARA PERR,,,
1798,,,,,,,,,,,HIGADO DE POLLO PARA LOS,,,
1799,,,,,,,,,,,AJI OJO DE POLLO,,,
1800,,,,,,,,,,,SECO DE CARNE CON FREJOLE,,,
1801,,,,,,,,HARINA SIN PREPARAR,,,,,,
1802,,,,,,,,HARINA DE CHUÑO ENVASADA,,,,,,
1803,,,,,,,COMINO PIMIENTA. MOLIDO E,,,,,,,
1804,,,,,,,,HARINA DE MAIZ A GRANEL P,,,,,,
1805,,,,,,,,,,,POLENTA PARA PERRO,,,
1806,,,,,,,,,,,DESECHOS DE CARNE,,,
1807,,,,,PESCADO CARICHI,,,,,,,,,
1808,,,,,,,,MAIZ PLOMO ( CANCHA),,,,,,
1809,,,,,PESCADO SUNGARO,,,,,,,,,
1810,,,,,,,MUÑA EN RAMA PARA SOPA,,,,,,,
1811,ARVEJA VERDE Y ZANAHORIA,,,,,,,,,,,,,
1812,,,,,,,,,,,CHOCLO FRESCO PARA ANIMAL,,,
1813,,,,,,,,,,,HIGADO PARA GATOS Y PERRO,,,
1814,,,,,,,COMINO MOLIDO ENVASADA,,,,,,,
1815,,,,,,,,,,,ARROZ A GRANEL PARA PERRO,,,
1816,PAPA ARREBOZADA,,,,,,,,,,,,,
1817,PAPA YUNGAY AMARILLA,,,,,,,,,,,,,
1818,,,,,,,,,,,SOPA INSTANTANEA DE POLLO,,,
1819,,,,,,,,,,,ESPINASO DE POLLO,,,
1820,,,,,,,,,,,AJÍ DE POLLO CON ARROZ,,,
1821,,,FRIJOL 60 DÍAS,,,,,,,,,,,
1822,FRIJOL SARANDAJA VERDE EN,,,,,,,,,,,,,
1823,,,,,PESCADO COCO,,,,,,,,,
1824,,,,,,,,,,,,,PAN YEMA,
1825,,,,GALLETAS DE AGUA ENVASADA,,,,,,,,,,
1826,,,,,,,,,,,QUESO FRESCO PASTEURIZADO,,,
1827,,,,,,,,,,,CARNE DE PICURO,,,
1828,,,,,,,,,,,PECHUGA DE POLLO PARA MAS,,,
1829,,,,,,,,,,,"OLLUCO CON CARNE Y ARROZ,",,,
1830,,,,,,,,,,,COL CRESPA,,,
1831,,,,,,,,,,,,,PAN CIABATTA PRECOCIDO,
1832,,,,,PESCADO BOBITO,,,,,,,,,
1833,,,,,,,,,,,POLLO A LA BRASA CON CHAU,,,
1834,,,,,,,,CANCHA DE MAIZ TOSTADO,,,,,,
1835,,,,,,,ANIS EN RAMA,,,,,,,
1836,,,ARROZ CON FRIJOL,,,,,,,,,,,
1837,,,,,,,,,,,AROCILLO PARA PERRO,,,
1838,ARVEJA VERDE DESGRANADA C,,,,,,,,,,,,,
1839,,,,,,,,MAIZ REVENTON (POP-CORN),,,,,,
1840,,,,,,,,,,,,,PAN CON HOTDOG,
1841,,,,,,,,,,,PESCADO ZUNGARO FRESCO,,,
1842,,,,,PESCADO CARACHI,,,,,,,,,
1843,,,,,,,MUÑA EN RAMA PARA INFUSIO,,,,,,,
1844,,,,,,,MANTO EN RAMA PARA INFUCI,,,,,,,
1845,,,,,,,,,,,OSOBUCO DE RES,,,
1846,,,,,,,OREGANO MOLIDO A GRANEL,,,,,,,
1847,,,,,,,,,,,SANGRE PARA PERRO,,,
1848,,,,TROZOS ATUN EN SAL Y AGUA,,,,,,,,,,
1849,PAPA TOMASA,,,,,,,,,,,,,
1850,,,,,,,,MAIZ PELADO DE MOTE SANCO,,,,,,
1851,PAPA LOMO,,,,,,,,,,,,,
1852,,,,,,,,,,,CARNE DE RES BISTECK PARA,,,
1853,,,,,,,,,,,,,AJÍ PANCA MOLIDO ENVASADO,
1854,PAPA DE ANDAHUAYLAS,,,,,,,,,,,,,
1855,,,,,PESCADO FRITO CON MOTE CO,,,,,,,,,
1856,,,,,PESCADO BOQUICHICO SECO Y,,,,,,,,,
1857,,,,CAPULI O AGUAYMANTO,,,,,,,,,,
1858,,,,,,,,,,,LENGUA DE RES,,,
1859,,,,,,,,,,,CABEZA DE POLLO PARA MASC,,,
1860,,,,,,,VALERIANA EN RAMA PARA IN,,,,,,,
1861,,,,,,,,,,,,,PAN CHICHI,
1862,,,,,,,CUNUKA EN RAMA PARA INFUS,,,,,,,
1863,,,,,,,OREGANO MOLIDO ENVASAD,,,,,,,
1864,,,,,,,HUERBA COMBINADA EN RAMA,,,,,,,
1865,,,,,,,,,,,ALMUERZO PARA PERRO,,,
1866,FRIJOL VERDE CON CASCADA,,,,,,,,,,,,,
1867,,,,,,,,MEZCLAS DE HARINAS,,,,,,
1868,,,,,,,SAZONADOR MOLIDO A GRANEL,,,,,,,
1869,,,,,,,AJÍ AMARILLO MOLIDO ENVAS,,,,,,,
1870,,,,,,,CHOCLO MOLIDO,,,,,,,
1871,,,,,,,,,,,ASADO DE POLLO CON ARROZ,,,
1872,,,,,,,,MAIZ CONCENTRADO,,,,,,
1873,,,FRIJOL CHILENO PRECOCIDO,,,,,,,,,,,
1874,,,,,,,,,,,,,PANELA A GRANEL,
1875,,,,,,,JAMAYCA EN RAMA PARA INFU,,,,,,,
1876,,,,,,,,,,,,,PAN TRIGO INTEGRAL,
1877,,,,,,,,,,,HUESO DE RES PARA PERROS,,,
1878,,,,,,,,MAIZ CHULPE TOSTADO,,,,,,
1879,,,,,,,,,,,CROQUETA PARA PERRO,,,
1880,,,,,,,,,,,PATA DE POLLO PARA PERRO,,,
1881,PAPA CHANCAN,,,,,,,,,,,,,
1882,,,,,,,SALSA DE AJI ROCOTO ENVAS,,,,,,,
1883,,,,,,,MUÑA EN RAMAS,,,,,,,
1884,,,,,,,,HARINA DE SOYA A GRANEL,,,,,,
1885,PAPA DE HUEVO INDIO,,,,,,,,,,,,,
1886,,,,,,,,,,,CHARQUI DE CARNERO,,,
1887,,,FRIJOL BLANCO PRECOCIDO,,,,,,,,,,,
1888,,,,,,,,MAIZ REVENTON,,,,,,
1889,,,,,,,ROCOTO MOLIDO ENVADA,,,,,,,
1890,,,,,,,,,,,HUALDRAFA DE RES,,,
1891,,,,,,,,HARINA DE KAÑIHUACO,,,,,,
1892,,,,,,,,,,,,,PAN DE MOLDE ENVASADO,
1893,,,,,PESCADO MANITOA,,,,,,,,,
1894,,,,,,,,,,,ARROCILLO PARA PERRO Y GA,,,
1895,,,,,,,AJI AYUYO,,,,,,,
1896,FRIJOL VERDE CON CASCARA,,,,,,,,,,,,,
1897,,,,,,,,MAIZ MARTAJADO PARA AVES,,,,,,
1898,PAPA SANCOCHADA CON ACEIT,,,,,,,,,,,,,
1899,,,,,,,,,,,ASADO DE RES CON PAPAS,,,
1900,ARVEJA VERDE EN CÁSCARA,,,,,,,,,,,,,
1901,,,,,,,,HARINA SIN PREPARAR DE TR,,,,,,
1902,,,,,,,,,,,HUESO DE PECHO DE POLLO,,,
1903,,,,,,,,,,,CARNE DE RES LOMO FINO,,,
1904,,,,,,,,,,,ALA DE POLLO,,,
1905,,,,,,,,,,,ÑELEN PARA PERRO,,,
1906,,,,,,,,,,,VASO DE CARNERO,,,
1907,,,,,,,,,,,SANGRECITA DE POLLO,,,
